"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.42980648026513e-42,3.43056031146254,0.506,0.165,3.96156481487058e-38,"10","RGS10"
8.66745622132375e-39,3.42197142041595,0.348,0.08,2.40149209524217e-34,"10","MS4A6A"
1.58682087226275e-17,3.36432742761092,0.266,0.089,4.39660459077841e-13,"10","JAML"
2.13120649281041e-166,3.33987569614388,0.778,0.108,5.90493382962981e-162,"10","LYZ"
1.9519903867465e-102,3.26966399732507,0.994,0.442,5.40837976455853e-98,"10","HLA-DRA"
1.97714920824325e-63,3.25574837510207,0.513,0.113,5.47808731127956e-59,"10","FCER1G"
0,11.2745088340395,0.667,0.001,0,"11","CMTM2"
0,10.6257828357894,0.95,0.007,0,"11","FCGR3B"
0,9.72997231260237,0.617,0.003,0,"11","CXCR2"
0,9.25285516042444,0.275,0.001,0,"11","ADGRG3"
0,9.2329479778516,0.3,0.003,0,"11","FPR2"
0,9.02974539967208,0.975,0.024,0,"11","S100A8"
0,8.60736295483739,0.483,0.007,0,"11","S100A12"
0,8.30132244327499,0.358,0.006,0,"11","FFAR2"
0,8.22230705095459,0.392,0.006,0,"11","PROK2"
0,8.17541256954619,0.275,0.004,0,"11","TNFRSF10C"
0,8.14072632177626,1,0.049,0,"11","S100A9"
0,7.95341412133178,0.892,0.036,0,"11","CSF3R"
0,7.8877971992636,0.3,0.005,0,"11","S100P"
0,7.87681387978594,0.658,0.011,0,"11","AQP9"
0,7.83998063577117,0.775,0.024,0,"11","FPR1"
0,7.8209985011651,0.658,0.022,0,"11","TREM1"
0,7.57583039754094,0.467,0.012,0,"11","VNN2"
8.11157408062892e-279,7.53834319523659,0.3,0.006,2.24747383051985e-274,"11","TNFAIP6"
1.89956793629704e-196,7.44859893587053,0.292,0.009,5.26313288109821e-192,"11","AL034397.3"
1.32160592015201e-305,7.42778186927417,0.533,0.021,3.66177352296516e-301,"11","HCAR3"
3.9541951692646e-230,11.4027800544663,0.33,0.008,1.09558885554814e-225,"12","IGHA2"
0,11.3595980644671,0.659,0,0,"12","TNFRSF17"
8.34729570760367e-57,11.0230336720083,0.451,0.061,2.31278522170575e-52,"12","IGLC2"
3.63299484807195e-214,10.816881658253,0.78,0.054,1.0065938825553e-209,"12","IGHG1"
